time,count·,v1,v2,V3,v4,v5,v6,v7,v8,,,,,,
120403623,3507,-0.000375,0.07425,0.003187,-0.074437,0.005063,0.007312,0.005812,0.006375,0,0,0,0,0,0
120437886,3508,0.00075,0.063562,0.002063,-0.064875,0.005063,0.00675,0.005812,0.006188,0,0,0,0,0,0
120437886,3510,0.00075,0.063562,0.002063,-0.064875,0.005063,0.00675,0.005812,0.006188,0,0,0,0,0,0
120540678,3511,0.00075,0.060563,0.001688,-0.062812,0.00375,0.005437,0.0045,0.00525,0,0,0,0,0,0
120574943,3514,0.000938,0.06225,0.001312,-0.0645,0.003937,0.006,0.004875,0.005625,0,0,0,0,0,0
120677751,3515,0.001875,0.072562,0.001125,-0.075,0.005437,0.0075,0.006188,0.006938,0,0,0,0,0,0
120712006,3518,0.001875,0.072562,0.001125,-0.075,0.005437,0.0075,0.006188,0.006938,0,0,0,0,0,0
120814804,3519,0.002438,0.097313,0.001312,-0.101063,0.008813,0.011812,0.009938,0.0105,0,0,0,0,0,0
120849079,3523,0.002625,0.090938,0.0015,-0.093187,0.008625,0.011438,0.009562,0.009938,0,0,0,0,0,0
120986150,3524,0.000187,0.083063,0.003938,-0.085125,0.008437,0.0105,0.009,0.009375,0,0,0,0,0,0
